,crps,crps,crps,crps,crps,crps
model,DNN,GB,GRU,LSTM,QR,RF
dataset,,,,,,
S1,28.439364522982693,18.90161068856934,28.33699030926048,25.67990113706895,27.871057832725082,22.009448922939814
S2,0.37604678065664393,0.30473969194618067,0.4124510577214759,0.3730076162868183,0.6393880626619498,0.32650155449888485
S3-AT,804.9981040048092,182.23482514465064,782.9193208397078,802.6564654823276,368.0275666887303,154.22507698352032
S3-BE,804.1209846614861,219.42572494977244,787.1665629881559,773.8571567784849,436.75549993535446,211.56105075413902
S3-BG,459.71767264004706,94.23003408870963,446.49482443899757,367.5126424214723,211.6082943431871,88.76930298971597
S3-CH,510.5340899668751,209.5119428455485,506.3849116177434,505.4989891410314,305.6898296070177,217.70723533154143
S3-CZ,723.7971510913405,169.8591494028511,723.8938024648962,725.1426386139283,341.4413832340151,143.1969436133579
S3-DK,418.73246579641506,94.8525109152978,318.5313141661297,330.25555270275623,194.58206606487818,85.70719920347953
S3-ES,2652.8710228855844,563.6896566638162,2684.3229923704343,2646.5377944218717,1356.0021740553932,431.57196461721725
S3-FR,6483.037990168773,1219.5407849915916,6597.401184920766,6496.52924268358,2300.383782691694,1071.3995475968989
S3-GR,670.9788066814834,148.01070692206878,671.7850643475216,673.1680301340757,312.33635981326137,137.24243409004328
S3-IT,4530.812688061872,976.5398004696898,4496.313651456702,4561.690025086946,1892.9918947378121,694.3654988294138
S3-NL,1108.1347636694763,313.2585408241804,1095.9980963346993,1106.3945035703853,631.4776304224316,292.7514734012732
S3-PT,604.5327855215099,127.0416276696597,431.0332926858862,439.4078455200049,265.4054443929861,106.86461155382904
S3-SI,158.58874381359334,45.67978761277991,89.01208808841939,91.60221322652824,75.43427852348822,41.93783589704183
S3-SK,270.3607145070685,64.45532973482833,272.59451619088185,222.23265920854425,153.5154150179569,57.51304979273283
S4-MIDATL,4120.330733580949,1351.5440231637192,4094.413372287734,4137.927703583246,2106.973970405975,1417.129973591423
S4-SOUTH,1468.1364929851666,508.6735096871578,1454.276067394188,1480.6778750436529,813.6985426954257,558.7539097102733
S4-WEST,5524.8420188526225,1440.490934758109,5017.203691427872,4990.41749012669,2562.9037619647306,1561.5152357386137
S5,2740.762750484224,1379.4505833871383,2711.5562900620835,2744.532951318525,1563.1921862257495,1533.6721131326674
